License Issue Date,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
April 19 2003,Tinkerdelle,Cat,Domestic Shorthair,,98116
February 07 2006,Pepper,Cat,Manx,Mix,98103
May 21 2014,Ashley,Cat,Domestic Shorthair,,98115
May 08 2015,Lulu,Cat,LaPerm,,98136
May 13 2015,My Boy,Cat,Russian Blue,,98121
July 21 2015,Rocket,Cat,Domestic Shorthair,,98144
September 30 2015,Calypso,Cat,Domestic Shorthair,,98106
November 13 2015,Blue,Cat,American Shorthair,Siamese,98115
November 13 2015,Kashi,Cat,American Shorthair,Mix,98115
November 17 2015,Charlie,Cat,Persian,,98115
November 18 2015,Magic,Cat,LaPerm,,98112
November 23 2015,Solstice,Cat,Maine Coon,Mix,98103
November 24 2015,Smokey,Cat,Domestic Longhair,,98118
November 24 2015,Brat Cat,Cat,Domestic Shorthair,,98108
November 30 2015,Scoots,Cat,Domestic Medium Hair,,98112
November 30 2015,Felix,Cat,LaPerm,,98103
December 01 2015,Loki,Cat,Domestic Shorthair,,98119
December 01 2015,Delilah,Cat,Domestic Shorthair,,98133
December 03 2015,Miss Blackey,Cat,Domestic Medium Hair,,98133
December 03 2015,Herdy,Cat,Domestic Shorthair,,98126
December 04 2015,Rory,Cat,Domestic Shorthair,,
December 06 2015,Milo,Cat,Maine Coon,,98105
December 10 2015,Shadow,Cat,Domestic Shorthair,,98133
December 10 2015,Sasha,Cat,Domestic Shorthair,,98103
December 11 2015,Lexy,Cat,Domestic Shorthair,,98126
December 15 2015,Rex,Cat,Domestic Shorthair,Mix,98136
December 16 2015,Molly,Cat,Domestic Shorthair,,98106
December 16 2015,Tazzie,Cat,Domestic Shorthair,,98106
December 16 2015,Izzy,Cat,Domestic Shorthair,,98125
December 17 2015,Wanjai,Cat,Siamese,,98119
December 17 2015,Alice,Cat,Domestic Medium Hair,,98103
December 18 2015,Zen,Cat,Domestic Longhair,Mix,98117
December 18 2015,Pepper,Cat,Domestic Shorthair,,98125
December 18 2015,Pierre,Cat,Domestic Shorthair,,98125
December 19 2015,Waldo,Cat,Domestic Longhair,,98103
December 19 2015,Gemma,Cat,American Shorthair,,98125
December 26 2015,Mocha,Cat,Domestic Shorthair,,98103
December 28 2015,Macon,Cat,LaPerm,,98199
December 31 2015,Nugget,Cat,Domestic Shorthair,,98107
January 25 2016,Elvira,Cat,Domestic Shorthair,,98112
February 04 2016,Kitty,Cat,Siberian,,98115
April 14 2016,Sita,Cat,Domestic Shorthair,,98119
May 11 2016,Mia,Cat,Domestic Longhair,,98118
May 17 2016,Minuet,Cat,Siberian,,98199
May 24 2016,Peter,Cat,Domestic Medium Hair,,98112
June 14 2016,Misty,Cat,Siberian,,98117
June 16 2016,Frankie Lee Jones,Cat,Domestic Shorthair,,
June 29 2016,Missy,Cat,Balinese,,98144
July 02 2016,Alice in Wonderland,Cat,Bombay,Mix,98122
July 14 2016,Albert,Cat,Domestic Medium Hair,Mix,
July 14 2016,Elodin,Cat,Domestic Shorthair,Mix,
July 19 2016,Bramble,Cat,Domestic Longhair,,98125
July 20 2016,Jasmine,Cat,LaPerm,,98104
July 24 2016,Seal,Cat,Balinese,,98112
July 24 2016,Coco,Cat,Balinese,,98112
August 02 2016,Chi,Cat,Siamese,Mix,98125
August 04 2016,Lucy,Cat,Russian Blue,Mix,98104
August 04 2016,Lyra,Cat,Mix,,98121
August 22 2016,Gilligan,Cat,American Shorthair,Oriental Shorthair,98103
August 31 2016,Serena Jenna,Cat,Domestic Shorthair,,98126
August 31 2016,nola briana,Cat,Domestic Medium Hair,,98126
September 09 2016,Moose,Cat,Bengal,,98103
September 19 2016,Oscar,Cat,Domestic Shorthair,Mix,98125
September 20 2016,Vinnie,Cat,Domestic Shorthair,,98125
September 28 2016,Stanley,Cat,Domestic Shorthair,,98126
September 28 2016,Tobias,Cat,Domestic Medium Hair,,98126
October 04 2016,Sophie,Cat,Domestic Shorthair,,98118
October 06 2016,Aussie,Cat,Domestic Shorthair,,98102
October 13 2016,Olive,Cat,Maine Coon,Mix,98117
October 17 2016,Maaike,Cat,Domestic Shorthair,,98126
October 17 2016,Pepper,Cat,Domestic Medium Hair,,98122
October 18 2016,Tulip,Cat,Siamese,Domestic Medium Hair,98119
October 18 2016,Aslan,Cat,Domestic Longhair,,98133
October 18 2016,Talia,Cat,Domestic Longhair,,98133
October 20 2016,Kaiya,Cat,Domestic Shorthair,,98177
October 20 2016,Dot,Cat,Domestic Shorthair,,98109
October 20 2016,Sally,Cat,Domestic Shorthair,,98109
October 21 2016,Dasher,Cat,Domestic Shorthair,Mix,98119
October 22 2016,Plato,Cat,Siamese,Mix,98109
October 22 2016,Pindar,Cat,Siamese,Mix,98109
